gene	diplotype	lookupkey	drug	drugid	suggest	advice	ref_guide	sample	gatkscore	depth	readsratio	cHGVS	pHGVS	zyg	rsID	location	effect	guide
G6PD	B (reference)	Normal	tafenoquine	PA166115580	"<p>No reason to avoid based on G6PD status</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Tafenoquine’s safety has been established for a G6PD enzyme activity ≥70% of normal. (Inclusion criteria for clinical trials involving tafenoquine included G6PD activity ≥70%.)</p>
"	G6PD: Low risk of acute hemolytic anemia	CPIC	.	.	.	.	.	.	.	.	.	.	Normal
G6PD	B (reference)	Normal	methylene blue	PA450457	"<p>No reason to avoid based on G6PD status</p>
"	G6PD: Low risk of acute hemolytic anemia	CPIC	.	.	.	.	.	.	.	.	.	.	Normal
G6PD	B (reference)	Normal	pegloticase	PA165963961	"<p>No reason to avoid based on G6PD status</p>
"	G6PD: Low risk of acute hemolytic anemia	CPIC	.	.	.	.	.	.	.	.	.	.	Normal
G6PD	B (reference)	Normal	nitrofurantoin	PA450640	"<p>No reason to avoid based on G6PD status</p>
"	G6PD: Low risk of acute hemolytic anemia	CPIC	.	.	.	.	.	.	.	.	.	.	Normal
G6PD	B (reference)	Normal	primaquine	PA451103	"<p>No reason to avoid based on G6PD status</p>
"	G6PD: Low risk of acute hemolytic anemia	CPIC	.	.	.	.	.	.	.	.	.	.	Normal
IFNL3																		
MT-RNR1	Reference	normal risk of aminoglycoside-induced hearing loss	streptomycin	PA451512	"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
"	MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.	CPIC	.	.	.	.	.	.	.	.	.	.	normal risk of aminoglycoside-induced hearing loss
MT-RNR1	Reference	normal risk of aminoglycoside-induced hearing loss	kanamycin	PA450137	"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
"	MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.	CPIC	.	.	.	.	.	.	.	.	.	.	normal risk of aminoglycoside-induced hearing loss
MT-RNR1	Reference	normal risk of aminoglycoside-induced hearing loss	tobramycin	PA451704	"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
"	MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.	CPIC	.	.	.	.	.	.	.	.	.	.	normal risk of aminoglycoside-induced hearing loss
MT-RNR1	Reference	normal risk of aminoglycoside-induced hearing loss	paromomycin	PA164784023	"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
"	MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.	CPIC	.	.	.	.	.	.	.	.	.	.	normal risk of aminoglycoside-induced hearing loss
MT-RNR1	Reference	normal risk of aminoglycoside-induced hearing loss	amikacin	PA164744372	"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
"	MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.	CPIC	.	.	.	.	.	.	.	.	.	.	normal risk of aminoglycoside-induced hearing loss
MT-RNR1	Reference	normal risk of aminoglycoside-induced hearing loss	plazomicin	PA166228921	"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
"	MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.	CPIC	.	.	.	.	.	.	.	.	.	.	normal risk of aminoglycoside-induced hearing loss
MT-RNR1	Reference	normal risk of aminoglycoside-induced hearing loss	gentamicin	PA449753	"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
"	MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.	CPIC	.	.	.	.	.	.	.	.	.	.	normal risk of aminoglycoside-induced hearing loss
MT-RNR1	Reference	normal risk of aminoglycoside-induced hearing loss	netilmicin	PA164754913	"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
"	MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.	CPIC	.	.	.	.	.	.	.	.	.	.	normal risk of aminoglycoside-induced hearing loss
MT-RNR1	Reference	normal risk of aminoglycoside-induced hearing loss	dibekacin	PA166292901	"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
"	MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.	CPIC	.	.	.	.	.	.	.	.	.	.	normal risk of aminoglycoside-induced hearing loss
MT-RNR1	Reference	normal risk of aminoglycoside-induced hearing loss	ribostamycin	PA166292902	"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
"	MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.	CPIC	.	.	.	.	.	.	.	.	.	.	normal risk of aminoglycoside-induced hearing loss
MT-RNR1	Reference	normal risk of aminoglycoside-induced hearing loss	neomycin	PA450608	"<p>Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.</p>
"	MT-RNR1: Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.	CPIC	.	.	.	.	.	.	.	.	.	.	normal risk of aminoglycoside-induced hearing loss
NUDT15	*1/*1	Normal Metabolizer	azathioprine	PA448515	"<p>The guideline does not provide a recommendation for azathioprine in normal metabolizers</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on azathioprine.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
NUDT15	*1/*1	Normal Metabolizer	mercaptopurine	PA450379	"<p>The guideline does not provide a recommendation for mercaptopurine in normal metabolizers</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on mercaptopurine.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
NUDT15	*1/*1	Normal Metabolizer	thioguanine	PA451663	"<p>The guideline does not provide a recommendation for thioguanine in normal metabolizers</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on thioguanine.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
RYR1	Reference/Reference	Uncertain Susceptibility																
SLCO1B1	*1/*1	Normal Function	atorvastatin	PA448500	"<p>Prescribe desired starting dose and adjust doses based on disease-specific guidelines.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>The potential for drug-drug interactions and dose limits based on renal and hepatic function and ancestry should be evaluated prior to initiating a statin.</p>
"	SLCO1B1: Typical myopathy risk and statin exposure	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Function
SLCO1B1	*1/*1	Normal Function	lovastatin	PA450272	"<p>Prescribe desired starting dose and adjust doses based on disease-specific guidelines.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>The potential for drug-drug interactions and dose limits based on renal and hepatic function and ancestry should be evaluated prior to initiating a statin.</p>
"	SLCO1B1: Typical myopathy risk and statin exposure	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Function
SLCO1B1	*1/*1	Normal Function	pitavastatin	PA142650384	"<p>Prescribe desired starting dose and adjust doses based on disease-specific guidelines.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>The potential for drug-drug interactions and dose limits based on renal and hepatic function and ancestry should be evaluated prior to initiating a statin.</p>
"	SLCO1B1: Typical myopathy risk and statin exposure	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Function
SLCO1B1	*1/*1	Normal Function	pravastatin	PA451089	"<p>Prescribe desired starting dose and adjust doses based on disease-specific guidelines.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>The potential for drug-drug interactions and dose limits based on renal and hepatic function and ancestry should be evaluated prior to initiating a statin.</p>
"	SLCO1B1: Typical myopathy risk and statin exposure	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Function
SLCO1B1	*1/*1	Normal Function	simvastatin	PA451363	"<p>Prescribe desired starting dose and adjust doses based on disease-specific guidelines.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>The potential for drug-drug interactions and dose limits based on renal and hepatic function and ancestry should be evaluated prior to initiating a statin.</p>
"	SLCO1B1: Typical myopathy risk and statin exposure	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Function
SLCO1B1	*1/*1	Normal Function	atorvastatin	PA448500	"<p>The guideline does not provide a recommendation for atorvastatin in patients with the <em>SLCO1B1</em> 521 TT genotype</p>
"	The guideline does not provide a description of the impact of the _SLCO1B1_ 521 TT genotype on atorvastatin.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Function
SLCO1B1	*1/*1	Normal Function	simvastatin	PA451363	"<p>The guideline does not provide a recommendation for atorvastatin in patients with the <em>SLCO1B1</em> 521 TT genotype.</p>
"	The guideline does not provide a description of the impact of the SLCO1B1 521 TT genotype on simvastatin.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Function
TPMT	*1/*1	Normal Metabolizer	azathioprine	PA448515	"<p>The guideline does not provide a recommendation for azathioprine in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on azathioprine.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
TPMT	*1/*1	Normal Metabolizer	mercaptopurine	PA450379	"<p>The guideline does not provide a recommendation for mercaptopurine in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on mercaptopurine.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
TPMT	*1/*1	Normal Metabolizer	thioguanine	PA451663	"<p>The guideline does not provide a recommendation for thioguanine in normal metabolizers.</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on thioguanine.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
UGT1A1	*1/*1	Normal Metabolizer	atazanavir	PA10251	"<p>There is no need to avoid prescribing of atazanavir based on UGT1A1 genetic test result. Inform the patient that some patients stop atazanavir because of jaundice (yellow eyes and skin), but that this patient’s genotype makes this unlikely (less than about a 1 in 20 chance of stopping atazanavir because of jaundice).</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>All studies correlating UGT1A1 genotypes with atazanavir adverse events have involved ritonavir boosting. However, concentration-time profiles are equivalent when boosted with either cobicistat or ritonavir (PMID 23532097), and bilirubin-related adverse events including discontinuation of atazanavir occur in a similar percentage of patients prescribed atazanavir with cobicistat or ritonavir (PMID 23532097). Associations between UGT1A1 genotype, bilirubin elevations, and atazanavir/r discontinuation therefore almost certainly translate to atazanavir/cobicistat. &quot;reference&quot; function refers to the UGT1A1 allele to which other alleles are compared.</p>
"	UGT1A1: Reference UGT1A1 activity; very low likelihood of bilirubin-related discontinuation of atazanavir.	CPIC	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
UGT1A1	*1/*1	Normal Metabolizer	irinotecan	PA450085	"<p>The guideline does not provide a recommendation for irinotecan in normal metabolizers</p>
"	The guideline does not provide a description of the impact of a normal metabolizer phenotype on irinotecan.	DPWG	.	.	.	.	.	.	.	.	.	.	Normal Metabolizer
