Guideline Name,Name,Related Chemicals,Text,Implications,Lookup Key
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297655,desipramine,"<p>Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
",CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers. Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure.,CYP2D6=≥5.0
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297625,desipramine,"<p>Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
",CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers. Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure.,CYP2D6=4.0
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297638,desipramine,"<p>Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
",CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers. Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure.,CYP2D6=3.0
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297660,desipramine,"<p>Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
",CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers. Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure.,CYP2D6=≥3.0
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297665,desipramine,"<p>Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.</p>
",CYP2D6: Greatly reduced metabolism of TCAs to less active compounds compared to normal metabolizers. Higher plasma concentrations of active drug will increase the probability of side effects.,CYP2D6=0.0
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297656,desipramine,"<p>Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
",CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers. Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure.,CYP2D6=≥3.75
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297626,desipramine,"<p>Initiate therapy with recommended starting dose</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2D6: Normal metabolism of TCAs,CYP2D6=1.5
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297133,desipramine,"<p>Initiate therapy with recommended starting dose</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2D6: Normal metabolism of TCAs,CYP2D6=1.75
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297661,desipramine,"<p>Consider a 25% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.</p>
",CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers. Higher plasma concentrations of active drug will increase the probability of side effects.,CYP2D6=1.0
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297662,desipramine,"<p>Consider a 25% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.</p>
",CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers. Higher plasma concentrations of active drug will increase the probability of side effects.,CYP2D6=0.75
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297657,desipramine,"<p>Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
",CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers. Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure.,CYP2D6=≥4.0
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation Annotation PA166301322,desipramine,.,,CYP2D6=xN combinations
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297666,desipramine,"<p>No recommendation</p>
",CYP2D6: n/a,CYP2D6=n/a
Annotation of CPIC Guideline for desipramine and CYP2D6,Recommendation PA166297649,desipramine,"<p>Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
",CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers. Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure.,CYP2D6=2.5
Annotation of CPIC Guideline for dexlansoprazole and CYP2C19,Recommendation PA166297667,dexlansoprazole,"<p>Increase starting daily dose by 100%. Daily dose may be given in divided doses. Monitor for efficacy.</p>
",CYP2C19: Decreased plasma concentrations of PPIs compared to CYP2C19 NMs; increased risk of therapeutic failure,CYP2C19=Ultrarapid Metabolizer
Annotation of CPIC Guideline for dexlansoprazole and CYP2C19,Recommendation PA166297672,dexlansoprazole,"<p>Initiate standard starting daily dose. For chronic therapy (&gt;12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.</p>
",CYP2C19: Increased plasma concentration of PPI compared to CYP2C19 NMs; increased chance of efficacy and potentially toxicity,CYP2C19=Poor Metabolizer
Annotation of CPIC Guideline for dexlansoprazole and CYP2C19,Recommendation PA166297668,dexlansoprazole,"<p>Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses.
Monitor for efficacy.</p>
",CYP2C19: Decreased plasma concentrations of PPIs compared to CYP2C19 NMs; increased risk of therapeutic failure,CYP2C19=Rapid Metabolizer
Annotation of CPIC Guideline for dexlansoprazole and CYP2C19,Recommendation PA166297673,dexlansoprazole,"<p>No recommendation</p>
",CYP2C19: n/a,CYP2C19=Indeterminate
Annotation of CPIC Guideline for dexlansoprazole and CYP2C19,Recommendation PA166297669,dexlansoprazole,"<p>Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses.
Monitor for efficacy.</p>
",CYP2C19: Normal PPI metabolism; may be at increased risk of therapeutic failure compared to CYP2C19 IMs and PMs,CYP2C19=Normal Metabolizer
Annotation of CPIC Guideline for dexlansoprazole and CYP2C19,Recommendation PA166297670,dexlansoprazole,"<p>Initiate standard starting daily dose. For chronic therapy (&gt;12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>The strength of recommendation for &quot;likely&quot; phenotypes are the same as their respective confirmed phenotypes. &quot;Likely&quot; indicates the uncertainty in the phenotype assignment, but it is reasonable to apply the recommendation for the confirmed phenotype to the corresponding &quot;likely&quot; phenotype.</p>
",CYP2C19: Likely increased plasma concentration of PPI compared to CYP2C19 NMs; likely increased chance of efficacy and potentially toxicity,CYP2C19=Likely Intermediate Metabolizer
Annotation of CPIC Guideline for dexlansoprazole and CYP2C19,Recommendation PA166297644,dexlansoprazole,"<p>Initiate standard starting daily dose. For chronic therapy (&gt;12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.</p>
",CYP2C19: Increased plasma concentration of PPI compared to CYP2C19 NMs; increased chance of efficacy and potentially toxicity,CYP2C19=Intermediate Metabolizer
Annotation of CPIC Guideline for dexlansoprazole and CYP2C19,Recommendation PA166297671,dexlansoprazole,"<p>Initiate standard starting daily dose. For chronic therapy (&gt;12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>The strength of recommendation for &quot;likely&quot; phenotypes are the same as their respective confirmed phenotypes. &quot;Likely&quot; indicates the uncertainty in the phenotype assignment, but it is reasonable to apply the recommendation for the confirmed phenotype to the corresponding &quot;likely&quot; phenotype.</p>
",CYP2C19: Likely increased plasma concentration of PPI compared to CYP2C19 NMs; likely increased chance of efficacy and potentially toxicity,CYP2C19=Likely Poor Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297870,doxepin,"<p>Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.</p>
",CYP2C19: n/a; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥6.0; CYP2C19=No Result
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297773,doxepin,"<p>Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=4.0; CYP2C19=Intermediate Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297689,doxepin,"<p>Consider alternative drug not metabolized by CYP2C19; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=0.25; CYP2C19=Rapid Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297676,doxepin,"<p>Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers; CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=0.75; CYP2C19=Intermediate Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297839,doxepin,"<p>Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=2.75; CYP2C19=Likely Intermediate Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297883,doxepin,"<p>Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: n/a,CYP2D6=No Result; CYP2C19=Poor Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297786,doxepin,"<p>Avoid doxepin use; If doxepin is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.</p>
",CYP2C19: Normal metabolism of tertiary amines; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥3.25; CYP2C19=Normal Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297799,doxepin,"<p>Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥4.0; CYP2C19=Poor Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297707,doxepin,"<p>Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers; CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=1.0; CYP2C19=Likely Intermediate Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297804,doxepin,"<p>Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended</p>
",CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=3.0; CYP2C19=Rapid Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation Annotation PA166301382,doxepin,.,,CYP2D6=xN combinations; CYP2C19=Intermediate Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297795,doxepin,"<p>Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=4.0; CYP2C19=Poor Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297698,doxepin,"<p>Initiate therapy with recommended starting dose.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers; CYP2D6: Normal metabolism of TCAs,CYP2D6=2.0; CYP2C19=Intermediate Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297716,doxepin,"<p>Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.</p>
",CYP2C19: n/a; CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=1.0; CYP2C19=No Result
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297813,doxepin,"<p>Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended</p>
",CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥6.0; CYP2C19=Rapid Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297760,doxepin,"<p>Avoid doxepin use. If a doxepin is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.</p>
",CYP2C19: Normal metabolism of tertiary amines; CYP2D6: Greatly reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=0.0; CYP2C19=Normal Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297729,doxepin,"<p>Avoid doxepin use. If doxepin is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Normal metabolism of TCAs,CYP2D6=2.25; CYP2C19=Poor Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297826,doxepin,"<p>Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.</p>
",CYP2C19: n/a; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=3.0; CYP2C19=Indeterminate
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297874,doxepin,"<p>Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.</p>
",CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: n/a,CYP2D6=n/a; CYP2C19=Rapid Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297887,doxepin,"<p>Initiate therapy with recommended starting dose.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers; CYP2D6: n/a,CYP2D6=No Result; CYP2C19=Likely Intermediate Metabolizer
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297742,doxepin,"<p>No recommendation</p>
",CYP2C19: n/a; CYP2D6: Normal metabolism of TCAs,CYP2D6=1.5; CYP2C19=Indeterminate
"Annotation of CPIC Guideline for doxepin and CYP2C19, CYP2D6",Recommendation PA166297808,doxepin,"<p>Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended</p>
",CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥3.25; CYP2C19=Rapid Metabolizer
